date,capital,ticker,so_lo,so_co_phieu,gia_hien_tai,so_tien_chi,ty_trong_goc_ppo,ty_trong_thuc_te,used_capital,cash_left,tracking_error
17/07/2026,100000000,DGW,2,200,37400.0,7480000.0,0.044,0.0748,99985000.0,15000.0,0.6002
17/07/2026,100000000,DXG,2,200,12200.0,2440000.0,0.0197,0.0244,99985000.0,15000.0,0.6002
17/07/2026,100000000,EIB,3,300,19000.0,5700000.0,0.0425,0.057,99985000.0,15000.0,0.6002
17/07/2026,100000000,HAG,2,200,14550.0,2910000.0,0.0202,0.0291,99985000.0,15000.0,0.6002
17/07/2026,100000000,HDC,4,400,13200.0,5280000.0,0.0423,0.0528,99985000.0,15000.0,0.6002
17/07/2026,100000000,HDG,1,100,17800.0,1780000.0,0.012,0.0178,99985000.0,15000.0,0.6002
17/07/2026,100000000,IMP,3,300,39100.0,11730000.0,0.0934,0.1173,99985000.0,15000.0,0.6002
17/07/2026,100000000,KDC,2,200,49600.0,9920000.0,0.0547,0.0992,99985000.0,15000.0,0.6002
17/07/2026,100000000,KDH,2,200,18450.0,3690000.0,0.0292,0.0369,99985000.0,15000.0,0.6002
17/07/2026,100000000,MBB,1,100,23750.0,2375000.0,0.0154,0.0238,99985000.0,15000.0,0.6002
17/07/2026,100000000,NLG,1,100,24850.0,2485000.0,0.0232,0.0249,99985000.0,15000.0,0.6002
17/07/2026,100000000,NT2,1,100,21550.0,2155000.0,0.0125,0.0215,99985000.0,15000.0,0.6002
17/07/2026,100000000,PDR,4,400,13450.0,5380000.0,0.0426,0.0538,99985000.0,15000.0,0.6002
17/07/2026,100000000,SJS,1,100,47500.0,4750000.0,0.0327,0.0475,99985000.0,15000.0,0.6002
17/07/2026,100000000,TCH,5,500,13450.0,6725000.0,0.0661,0.0673,99985000.0,15000.0,0.6002
17/07/2026,100000000,VGC,2,200,38900.0,7780000.0,0.0519,0.0778,99985000.0,15000.0,0.6002
17/07/2026,100000000,VHC,2,200,57200.0,11440000.0,0.0575,0.1144,99985000.0,15000.0,0.6002
17/07/2026,100000000,VIX,2,200,13750.0,2750000.0,0.0156,0.0275,99985000.0,15000.0,0.6002
